FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2210180850--31722-0-13416-2210181119,194.81,0,10/18/2022 8:50:00 AM,10/18/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210181930--31825-0-13416-2210182207,118.59,0,10/18/2022 7:30:00 PM,10/18/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210181209--31825-1-13416-2210181936,89.58,1,10/18/2022 12:09:00 PM,10/18/2022 7:36:00 PM,567,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210181035--31722-0-13416-2210181300,194.81,0,10/18/2022 10:35:00 AM,10/18/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210181412--31722-0-13416-2210181643,194.81,0,10/18/2022 2:12:00 PM,10/18/2022 4:43:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210181254--31722-0-13416-2210181525,194.81,0,10/18/2022 12:54:00 PM,10/18/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210190545--31825-1-13416-2210191021,89.58,1,10/19/2022 5:45:00 AM,10/19/2022 10:21:00 AM,396,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210191412--31722-0-13416-2210191643,194.6,0,10/19/2022 2:12:00 PM,10/19/2022 4:43:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210190850--31722-0-13416-2210191119,194.6,0,10/19/2022 8:50:00 AM,10/19/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210191540--31722-0-13416-2210191800,219.6,0,10/19/2022 3:40:00 PM,10/19/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210190712--31722-0-13416-2210190939,194.6,0,10/19/2022 7:12:00 AM,10/19/2022 9:39:00 AM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2210191035--31722-0-13416-2210191300,219.6,0,10/19/2022 10:35:00 AM,10/19/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210191254--31722-0-13416-2210191525,194.6,0,10/19/2022 12:54:00 PM,10/19/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210192159--31825-0-13416-2210200039,72.59,0,10/19/2022 9:59:00 PM,10/20/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210192013--31722-0-13416-2210192244,219.6,0,10/19/2022 8:13:00 PM,10/19/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210191930--31825-0-13416-2210192207,158.59,0,10/19/2022 7:30:00 PM,10/19/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210200822--31825-0-13416-2210201055,158.59,0,10/20/2022 8:22:00 AM,10/20/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210200545--31825-1-13416-2210200945,179.58,1,10/20/2022 5:45:00 AM,10/20/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210201955--31722-0-13416-2210202226,241.3,0,10/20/2022 7:55:00 PM,10/20/2022 10:26:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210201412--31722-0-13416-2210201643,241.3,0,10/20/2022 2:12:00 PM,10/20/2022 4:43:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
